Driver,LapNumber,Compound,TyreLife
VER,1.0,MEDIUM,1.0
VER,2.0,MEDIUM,2.0
VER,3.0,MEDIUM,3.0
VER,4.0,MEDIUM,4.0
VER,5.0,MEDIUM,5.0
VER,6.0,MEDIUM,6.0
VER,7.0,MEDIUM,7.0
VER,8.0,MEDIUM,8.0
VER,9.0,MEDIUM,9.0
VER,10.0,MEDIUM,10.0
VER,11.0,MEDIUM,11.0
VER,12.0,MEDIUM,12.0
VER,13.0,MEDIUM,13.0
VER,14.0,MEDIUM,14.0
VER,15.0,MEDIUM,15.0
VER,16.0,MEDIUM,16.0
VER,17.0,MEDIUM,17.0
VER,18.0,MEDIUM,18.0
VER,19.0,MEDIUM,19.0
VER,20.0,MEDIUM,20.0
VER,21.0,MEDIUM,21.0
VER,22.0,HARD,1.0
VER,23.0,HARD,2.0
VER,24.0,HARD,3.0
VER,25.0,HARD,4.0
VER,26.0,HARD,5.0
VER,27.0,HARD,6.0
VER,28.0,HARD,7.0
VER,29.0,HARD,8.0
VER,30.0,HARD,9.0
VER,31.0,HARD,10.0
VER,32.0,HARD,11.0
VER,33.0,HARD,12.0
VER,34.0,HARD,13.0
VER,35.0,HARD,14.0
VER,36.0,HARD,15.0
VER,37.0,HARD,16.0
VER,38.0,HARD,17.0
VER,39.0,HARD,18.0
VER,40.0,HARD,19.0
VER,41.0,HARD,20.0
VER,42.0,HARD,21.0
VER,43.0,HARD,22.0
VER,44.0,HARD,23.0
VER,45.0,HARD,24.0
VER,46.0,HARD,25.0
VER,47.0,HARD,26.0
VER,48.0,HARD,27.0
VER,49.0,HARD,28.0
VER,50.0,HARD,29.0
VER,51.0,HARD,30.0
VER,52.0,HARD,31.0
VER,53.0,HARD,32.0
NOR,1.0,MEDIUM,1.0
NOR,2.0,MEDIUM,2.0
NOR,3.0,MEDIUM,3.0
NOR,4.0,MEDIUM,4.0
NOR,5.0,MEDIUM,5.0
NOR,6.0,MEDIUM,6.0
NOR,7.0,MEDIUM,7.0
NOR,8.0,MEDIUM,8.0
